영화명,장르,개봉연도,관객수,스크린수,배급사,예산,국내매출액,세계매출액
지.아이.조 2,Action Adventure Sci-Fi Thriller,2013,1855917,766,(주)씨제이이엔엠,130000000.0,13140860.0,375740705
콘스탄틴,Action Fantasy Horror Mystery,2005,1845000,59,워너브러더스코리아(주),100000000.0,11761004.0,230885289
007 스펙터,Action Adventure Thriller,2015,1820842,1105,유니버설픽쳐스인터내셔널코리아(유),245000000.0,12646122.0,880707597
캐치 미 이프 유 캔,Biography Crime Drama,2003,1807612,44,씨제이엔터테인먼트,52000000.0,9963084.0,352114312
작전명 발키리,Drama History Thriller War,2009,1798205,372,이십세기폭스코리아(주),75000000.0,10352399.0,201545517
분노의 질주: 더 맥시멈,Action Thriller,2013,1790457,656,유니버설픽쳐스인터내셔널코리아(유),160000000.0,12001457.0,788683342
저스티스 리그,Action Adventure Fantasy Sci-Fi,2017,1786386,1308,워너브러더스코리아(주),,13297786.0,661326987
"아이, 로봇",Action Mystery Sci-Fi Thriller,2004,1777470,49,이십세기폭스필름코퍼레이션,120000000.0,8835733.0,353133898
분노의 질주: 라이드 오어 다이,Action Adventure Crime Mystery Thriller,2023,1773424,1731,유니버설픽쳐스인터내셔널코리아(유),,13549697.0,704875015
쿵푸팬더4,Action Adventure Animation Comedy Family Fantasy Thriller,2024,1771601,2311,유니버설픽쳐스인터내셔널코리아(유),,12127027.0,547946428
벤자민 버튼의 시간은 거꾸로 간다,Drama Fantasy Romance,2009,1767051,313,(주)일레븐엔터테인먼트 워너브러더스코리아(주),150000000.0,10033993.0,335802786
수퍼맨 리턴즈,Action Adventure Sci-Fi,2006,1764758,96,워너브러더스코리아(주),270000000.0,11800000.0,391081192
나를 찾아줘,Drama Mystery Thriller,2014,1764233,658,이십세기폭스코리아(주),61000000.0,12394639.0,370890259
베놈: 라스트 댄스,Action Adventure Sci-Fi Thriller,2024,1764011,1663,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,,12656686.0,478937618
걸리버 여행기,Adventure Animation Comedy Family Fantasy Sci-Fi Sport,2011,1762070,513,이십세기폭스코리아(주),112000000.0,14944513.0,237382724
주먹왕 랄프 2: 인터넷 속으로,Adventure Animation Comedy Family Fantasy Sci-Fi Sport,2019,1758891,1453,월트디즈니컴퍼니코리아유한책임회사,175000000.0,10209048.0,529323962
내셔널 트레져:비밀의 책,Action Adventure Mystery Thriller,2007,1756319,76,한국소니픽쳐스릴리징브에나비스타영화(주),,11982505.0,459242249
이미테이션 게임,Biography Drama Thriller War,2015,1743936,541,메가박스중앙(주)플러스엠엔터테인먼트,,12074555.0,233555708
샹치와 텐 링즈의 전설,Action Adventure Fantasy Sci-Fi,2021,1740868,1784,월트디즈니컴퍼니코리아유한책임회사,,15318394.0,432243292
악마는 프라다를 입는다,Comedy Drama,2006,1730719,66,(주)퍼스트런 글뫼주식회사 이십세기폭스코리아(주),35000000.0,10194648.0,326720785
씽,Animation Comedy Family Musical,2016,1730688,795,유니버설픽쳐스인터내셔널코리아(유),75000000.0,11470803.0,634338409
스타워즈 에피소드3 - 시스의복수,Action Adventure Fantasy Sci-Fi,2005,1722800,90,이십세기폭스필름코퍼레이션,113000000.0,10862110.0,905595947
킬러의 보디가드,Action Comedy Crime Thriller,2017,1721757,482,(주)제이앤씨미디어그룹 TCO(주)더콘텐츠온,30000000.0,12743961.0,183431147
언터처블: 1%의 우정,Comedy Drama,2012,1720052,454,(주)넥스트엔터테인먼트월드(NEW),,9339066.0,426590315
샌 안드레아스,Action Adventure Thriller,2015,1716306,847,워너브러더스코리아(주),110000000.0,12762661.0,474609154
쥬만지: 새로운 세계,Action Adventure Comedy Fantasy,2018,1711246,791,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,90000000.0,12576280.0,962544585
토르: 천둥의 신,Action Fantasy,2011,1694529,496,(주)씨제이이엔엠,150000000.0,14530075.0,449326618
콩: 스컬 아일랜드,Action Adventure Fantasy Sci-Fi,2017,1689717,984,워너브러더스코리아(주),185000000.0,12716844.0,568652812
점퍼,Action Adventure Sci-Fi Thriller,2008,1685405,353,이십세기폭스필름코퍼레이션,85000000.0,9726132.0,225132113
23 아이덴티티,Horror Thriller,2017,1675798,952,유니버설픽쳐스인터내셔널코리아(유),9000000.0,12370434.0,278454417
알렉산더,Action Biography Drama History War,2004,1671576,71,(주)시네마서비스,155000000.0,9149343.0,167298192
마다가스카의 펭귄,Action Adventure Animation Comedy Crime Family Sci-Fi,2014,1661230,615,(주)씨제이이엔엠,132000000.0,11051752.0,373515621
캡틴 아메리카: 브레이브 뉴 월드,Action Adventure Sci-Fi,2025,1654160,1901,월트디즈니컴퍼니코리아유한책임회사,,11523915.0,415101577
아이스 에이지 4: 대륙 이동설,Adventure Animation Comedy Family,2012,1648070,501,이십세기폭스코리아(주),95000000.0,9015292.0,877244782
반 헬싱,Action Adventure Fantasy Thriller,2004,1631359,43,(주)스튜디오이쩜영,160000000.0,8413365.405455207,300157638
마다가스카3 : 이번엔 서커스다!,Adventure Animation Comedy Family,2012,1628563,564,(주)씨제이이엔엠,145000000.0,9178944.0,746921274
블랙 스완,Drama Thriller,2011,1623199,294,(주)영화사그램 이십세기폭스코리아(주) 월트디즈니컴퍼니코리아유한책임회사,13000000.0,11347528.0,329398046
분노의 질주: 언리미티드,Action Crime Thriller,2011,1621973,457,유니버설픽쳐스인터내셔널코리아(유),125000000.0,11173709.0,626140012
마다가스카,Adventure Animation Comedy Family,2005,1620031,109,씨제이엔터테인먼트,,9754887.0,542064525
닥터 두리틀,Adventure Comedy Family Fantasy,2020,1607082,1290,유니버설픽쳐스인터내셔널코리아(유),175000000.0,12224773.0,251410631
퓨리오사: 매드맥스 사가,Action Adventure Sci-Fi,2024,1605454,1442,워너브러더스코리아(주),,12094103.0,174375791
스타트렉 다크니스,Action Adventure Sci-Fi,2013,1605271,607,(주)씨제이이엔엠,190000000.0,11784493.0,467365246
로빈 후드,Action Adventure Drama History,2010,1596574,555,유니버설픽쳐스인터내셔널코리아(유),200000000.0,10676938.0,321669741
라이프 오브 파이,Adventure Drama Fantasy,2013,1593463,392,주식회사해리슨앤컴퍼니 이십세기폭스코리아(주),120000000.0,14425703.0,609016565
300: 제국의 부활,Action Drama,2014,1593116,720,워너브러더스코리아(주),110000000.0,11844166.0,337580051
위플래쉬,Drama Music,2015,1589048,436,(주)넥스트엔터테인먼트월드(NEW) 워터홀컴퍼니(주) (주)쇼박스,3300000.0,11191224.0,50360880
해리포터와 마법사의 돌,Adventure Family Fantasy,2001,1585389,0,워너브러더스코리아(주),125000000.0,2504289.0,1028492855
지구가 멈추는 날,Adventure Drama Sci-Fi Thriller,2008,1576333,469,이십세기폭스코리아(주),80000000.0,9191558.0,233093859
적벽대전:거대한 전쟁의 시작,Action Adventure Drama History War,2008,1573621,447,(주)쇼박스,,9035731.0,129710514
미녀삼총사 : 맥시멈 스피드,Action Adventure Comedy Crime,2003,1566696,57,한국소니픽쳐스릴리징브에나비스타영화(주),120000000.0,8376896.347221745,259175788
슈퍼배드 4,Adventure Animation Comedy Crime Family Sci-Fi,2024,1562001,1178,유니버설픽쳐스인터내셔널코리아(유),,10416369.0,969604368
범블비,Action Adventure Sci-Fi,2018,1561643,1016,롯데컬처웍스(주)롯데엔터테인먼트,135000000.0,11899133.0,467989645
앤트맨과 와스프: 퀀텀매니아,Action Adventure Comedy Sci-Fi,2023,1551129,2090,월트디즈니컴퍼니코리아유한책임회사,,11989335.0,476071180
