영화명,장르,개봉연도,관객수,스크린수,배급사,예산,국내매출액,세계매출액
쿵푸팬더3,Action Adventure Animation Comedy Family Fantasy,2016,3984812,1365,(주)씨제이이엔엠,145000000.0,27008616.13,521170825
캡틴 아메리카: 윈터 솔져,Action Adventure Sci-Fi Thriller,2014,3963220,1106,월트디즈니컴퍼니코리아유한책임회사 소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),170000000.0,30108797.37,714421503
베놈,Action Adventure Sci-Fi,2018,3888096,1308,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,100000000.0,30993429.8,856085161
트로이,Action Adventure Drama,2004,3851000,90,워너브러더스코리아(주),175000000.0,20400000.0,497409852
매드 맥스: 분노의 도로,Action Adventure Sci-Fi,2015,3842441,799,워너브러더스코리아(주),150000000.0,29081557.96,380437267
데드풀 2,Action Adventure Comedy Sci-Fi,2018,3784602,1576,이십세기폭스코리아(주),110000000.0,31071097.8,785896632
미이라,Action Adventure Fantasy,2017,3689325,1257,유니버설픽쳐스인터내셔널코리아(유),80000000.0,26975248.47,417643286
너의 이름은.,Animation Drama Fantasy Romance,2017,3673885,947,메가박스중앙(주)플러스엠엔터테인먼트,,26143445.72,405340703
분노의 질주: 홉스&쇼,Action Adventure Thriller,2019,3657536,1311,유니버설픽쳐스인터내셔널코리아(유),200000000.0,27659192.74,760732926
분노의 질주: 더 익스트림,Action Crime Thriller,2017,3653238,1469,유니버설픽쳐스인터내셔널코리아(유),250000000.0,26512288.52,1236009236
해리 포터와 불의 잔,Adventure Family Fantasy Mystery,2005,3615000,125,워너브러더스코리아(주),150000000.0,23161873.0,897468207
인턴,Comedy Drama,2015,3610642,496,워너브러더스코리아(주),35000000.0,25203658.04,194764672
라라랜드,Comedy Drama Music Musical Romance,2016,3597519,727,판씨네마(주),30000000.0,25861300.15,509183536
리얼 스틸,Action Drama Sci-Fi Sport,2011,3579666,603,한국소니픽쳐스릴리징브에나비스타영화(주),,23974765.14,299268508
모아나 2,Adventure Animation Comedy Family Fantasy Musical,2024,3550048,1985,월트디즈니컴퍼니코리아유한책임회사,,24007537.14,1059242164
미스터 & 미세스 스미스,Action Comedy Crime Thriller,2005,3546900,103,이십세기폭스필름코퍼레이션,110000000.0,21583459.0,487287646
웡카,Adventure Comedy Family Fantasy Musical,2024,3531468,1753,워너브러더스코리아(주),,24858384.47,634502312
코코,Adventure Animation Drama Family Fantasy Music Mystery,2018,3513114,1177,월트디즈니컴퍼니코리아유한책임회사,,25197492.77,814641172
매트릭스2 리로디드,Action Sci-Fi,2003,3510000,102,워너브러더스코리아(주),150000000.0,14956723.0,741847937
해리 포터와 불사조 기사단,Action Adventure Family Fantasy Mystery,2007,3475000,204,워너브러더스코리아(주),150000000.0,24765134.0,942871730
아일랜드,Action Sci-Fi Thriller,2005,3433900,110,워너브러더스코리아(주),126000000.0,21613170.0,162949164
비긴 어게인,Comedy Drama Music Romance,2014,3428309,213,판씨네마(주),,25735134.89,84862071
토이 스토리 4,Adventure Animation Comedy Family Fantasy,2019,3399913,1336,월트디즈니컴퍼니코리아유한책임회사,200000000.0,24670343.52,1073841394
어바웃 타임,Comedy Drama Fantasy Romance Sci-Fi,2013,3392251,568,유니버설픽쳐스인터내셔널코리아(유),,22814265.69,87100748
다이 하드 4 : 죽어도 산다,Action Thriller,2007,3380800,136,이십세기폭스필름코퍼레이션,110000000.0,21672512.0,388156011
맨 인 블랙 3,Action Adventure Comedy Sci-Fi,2012,3379762,770,한국소니픽쳐스릴리징브에나비스타영화(주),225000000.0,20023998.0,654213485
다빈치 코드,Mystery Thriller,2006,3339082,139,소니픽쳐스릴리징코리아,125000000.0,21959009.0,760200455
슈퍼배드 3,Adventure Animation Comedy Crime Family Sci-Fi,2017,3324861,1057,유니버설픽쳐스인터내셔널코리아(유),80000000.0,22012241.0,1034800131
데드풀,Action Comedy Sci-Fi,2016,3317196,1036,월트디즈니컴퍼니코리아유한책임회사 이십세기폭스코리아(주),58000000.0,23862147.0,782837347
슈렉2,Adventure Animation Comedy Family Fantasy Romance,2004,3300533,85,씨제이엔터테인먼트,150000000.0,18123377.0,932530034
스타워즈: 깨어난 포스,Action Adventure Fantasy Sci-Fi,2015,3273879,940,월트디즈니컴퍼니코리아(주),245000000.0,25070778.0,2071310218
분노의 질주: 더 세븐,Action Thriller,2015,3247955,983,유니버설픽쳐스인터내셔널코리아(유),190000000.0,23391042.0,1515342457
터미네이터 제니시스,Action Adventure Sci-Fi Thriller,2015,3240370,1113,롯데쇼핑(주)롯데엔터테인먼트,155000000.0,23481776.0,440603537
오펜하이머,Biography Drama History,2023,3232774,1636,유니버설픽쳐스인터내셔널코리아(유),,25212307.0,975811333
그래비티,Drama Sci-Fi Thriller,2013,3227452,636,(주)스튜디오디에이치엘 주식회사해리슨앤컴퍼니 워너브러더스코리아(주),100000000.0,28617779.0,723753370
우주전쟁,Action Adventure Sci-Fi,2005,3223000,123,UIP코리아,132000000.0,19311883.0,603873504
캐리비안의 해적: 낯선 조류,Action Adventure Fantasy,2011,3130046,960,한국소니픽쳐스릴리징브에나비스타영화(주),250000000.0,24796364.0,1046721266
나우 유 씨 미 2,Action Adventure Comedy Crime Mystery Thriller,2016,3100113,1200,롯데쇼핑(주)롯데엔터테인먼트,,21718598.0,334897606
이터널스,Action Adventure Fantasy Sci-Fi,2021,3050415,2648,월트디즈니컴퍼니코리아유한책임회사,,27437834.0,402064899
캐리비안의 해적: 죽은 자는 말이 없다,Action Adventure Fantasy,2017,3049894,1357,월트디즈니컴퍼니코리아유한책임회사,230000000.0,22701694.0,795922298
토르: 다크 월드,Action Adventure Fantasy Sci-Fi,2013,3039889,733,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),170000000.0,20475030.0,644783140
인크레더블 2,Action Adventure Animation Comedy Family Sci-Fi Thriller,2018,3033052,1605,월트디즈니컴퍼니코리아유한책임회사,,22319193.0,1243225667
미키 17,Adventure Comedy Fantasy Sci-Fi,2025,3013500,2153,워너브러더스코리아(주),,20908953.0,133047147
투모로우,Action Adventure Sci-Fi Thriller,2004,3006400,67,이십세기폭스필름코퍼레이션,125000000.0,16099393.0,552639571
레드: 더 레전드,Action Comedy Crime Thriller,2013,3004647,739,롯데쇼핑(주)롯데엔터테인먼트,84000000.0,19552937.0,148075565
해리 포터와 혼혈 왕자,Action Adventure Family Fantasy Mystery,2009,3002669,751,워너브러더스코리아(주),250000000.0,17796035.0,941056063
드래곤 길들이기 2,Action Adventure Animation Comedy Family Fantasy,2014,3000056,829,(주)씨제이이엔엠,145000000.0,21203356.0,621537519
황금 나침반,Adventure Family Fantasy,2007,2979838,110,롯데쇼핑(주)롯데엔터테인먼트,180000000.0,22500000.0,372234864
블랙 위도우,Action Adventure Sci-Fi,2021,2961902,2528,월트디즈니컴퍼니코리아유한책임회사,,25935750.0,379751655
서치,Drama Mystery Thriller,2018,2949944,816,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,,22981534.0,75462037
엑스맨: 아포칼립스,Action Adventure Sci-Fi,2016,2938818,1262,이십세기폭스코리아(주),178000000.0,21157574.0,543934105
300,Action Drama,2007,2929400,102,워너브러더스코리아(주),65000000.0,19902209.0,456082343
솔트,Action Thriller,2010,2921331,556,한국소니픽쳐스릴리징브에나비스타영화(주),110000000.0,19741786.0,293503354
원티드,Action Crime Thriller,2008,2867594,446,유니버설픽쳐스인터내셔널코리아(유),75000000.0,17028849.0,342463063
슈렉3,Adventure Animation Comedy Family Fantasy Romance,2007,2844159,120,씨제이엔터테인먼트,160000000.0,19245701.0,808308862
앤트맨,Action Comedy Sci-Fi,2015,2841699,949,월트디즈니컴퍼니코리아(주),130000000.0,20804140.0,519311965
쥬라기 월드: 도미니언,Action Adventure Sci-Fi Thriller,2022,2837410,2218,유니버설픽쳐스인터내셔널코리아(유),,25851781.0,1001978080
호빗: 다섯 군대 전투,Adventure Fantasy,2014,2836774,926,워너브러더스코리아(주),,21458497.0,962253946
호빗: 뜻밖의 여정,Adventure Fantasy,2012,2818993,1028,워너브러더스코리아(주),,17189477.0,1017107150
메이즈 러너,Action Mystery Sci-Fi Thriller,2014,2812427,648,이십세기폭스코리아(주),34000000.0,19001165.0,348319861
해리 포터와 죽음의 성물1,Adventure Family Fantasy Mystery,2010,2809053,718,워너브러더스코리아(주),,18094550.0,960858478
빅 히어로,Action Adventure Animation Comedy Crime Family Sci-Fi,2015,2801949,825,월트디즈니컴퍼니코리아(주),165000000.0,19446589.0,657870525
덩케르크,Action Drama History Thriller War,2017,2792705,1252,워너브러더스코리아(주),100000000.0,22339271.0,533696799
혹성탈출: 진화의 시작,Action Drama Sci-Fi Thriller,2011,2773794,514,이십세기폭스코리아(주),93000000.0,18751597.0,481800873
메이즈 러너: 스코치 트라이얼,Action Adventure Sci-Fi Thriller,2015,2744413,804,이십세기폭스코리아(주),61000000.0,19096288.0,312296056
가디언즈 오브 갤럭시 VOL. 2,Action Adventure Comedy Sci-Fi,2017,2735721,1218,월트디즈니컴퍼니코리아유한책임회사,200000000.0,21317524.0,863756903
핸콕,Action Comedy Drama Fantasy,2008,2723518,602,한국소니픽쳐스릴리징브에나비스타영화(주),150000000.0,15787552.0,629443428
나우 유 씨 미 : 마술사기단,Crime Mystery Thriller,2013,2718227,691,롯데쇼핑(주)롯데엔터테인먼트,75000000.0,17403552.0,351723989
미스 페레그린과 이상한 아이들의 집,Adventure Drama Family Fantasy Thriller,2016,2718158,904,이십세기폭스코리아(주),110000000.0,18886269.0,296482446
토르: 러브 앤 썬더,Action Adventure Comedy Romance Sci-Fi,2022,2716306,2143,월트디즈니컴퍼니코리아유한책임회사,,26088759.0,760928081
적벽대전 2 : 최후의 결전,Action Adventure Drama History War,2009,2713031,426,(주)쇼박스,,15487509.0,120432178
지.아이.조 : 전쟁의 서막,Action Adventure Sci-Fi Thriller,2009,2706748,446,씨제이엔터테인먼트,175000000.0,17198283.0,302469017
타이탄,Action Adventure Fantasy,2010,2685508,694,워너브러더스코리아(주),,20127161.0,493214993
브레이킹 던 part2,Adventure Drama Fantasy Romance,2012,2654817,665,(주)넥스트엔터테인먼트월드(NEW),120000000.0,13869025.0,848593948
미니언즈,Adventure Animation Comedy Crime Family Sci-Fi,2015,2625572,792,유니버설픽쳐스인터내셔널코리아(유),74000000.0,16798188.0,1159457503
트랜스포머: 최후의 기사,Action Adventure Comedy Sci-Fi Thriller,2017,2614601,1739,롯데쇼핑(주)롯데엔터테인먼트,217000000.0,19544393.0,605425157
제이슨 본,Action Thriller,2016,2611966,827,유니버설픽쳐스인터내셔널코리아(유),120000000.0,18378011.0,415484914
드래곤 길들이기,Action Adventure Comedy Drama Family Fantasy Sci-Fi,2010,2603857,562,유니버설픽쳐스인터내셔널코리아(유) 씨제이엔터테인먼트,165000000.0,24970846.0,494879860
도리를 찾아서,Adventure Animation Comedy Family Fantasy Mystery,2016,2601734,1091,월트디즈니컴퍼니코리아(주),,17902824.0,1029266989
퍼시픽 림,Action Adventure Sci-Fi,2013,2539114,1005,워너브러더스코리아(주),190000000.0,18613104.0,411002906
정글북,Action Adventure Animation Drama Family Fantasy Musical,2016,2537419,924,월트디즈니컴퍼니코리아(주),175000000.0,18606362.0,967724775
엑스맨: 퍼스트 클래스,Action Sci-Fi,2011,2533852,587,이십세기폭스코리아(주),160000000.0,17338717.0,352616690
해리포터와 아즈카반의 죄수,Adventure Family Fantasy Mystery,2004,2532000,91,워너브러더스코리아(주),130000000.0,13058217.845742468,808481128
패션 오브 크라이스트,Drama,2004,2523700,56,길갈 (주)라이크콘텐츠 (주)이수C&E 이십세기폭스필름코퍼레이션,30000000.0,3919374.0,610063438
마이펫의 이중생활,Adventure Animation Comedy Family,2016,2520510,726,유니버설픽쳐스인터내셔널코리아(유),75000000.0,16780206.0,875698161
"나니아 연대기-사자,마녀 그리고 옷장",Adventure Family Fantasy,2005,2505133,80,브에나비스타인터내셔널코리아,180000000.0,13983100.0,745013115
터미네이터 3,Action Sci-Fi,2003,2491354,88,(주)시네마서비스,200000000.0,13320908.60143658,433371112
보스 베이비,Adventure Animation Comedy Family Fantasy,2017,2451919,1116,(주)씨제이이엔엠,,17210258.0,527965936
신비한 동물들과 그린델왈드의 범죄,Adventure Family Fantasy,2018,2414062,1601,워너브러더스코리아(주),200000000.0,18921414.0,655755901
터미네이터: 다크 페이트,Action Adventure Sci-Fi,2019,2410227,1315,월트디즈니컴퍼니코리아유한책임회사,185000000.0,14791367.0,261119292
슈퍼 마리오 브라더스,Adventure Animation Comedy Family Fantasy,2023,2394076,1526,유니버설픽쳐스인터내셔널코리아(유),,17271151.0,1360847665
테이큰,Action Crime Thriller,2008,2379830,254,(주)스튜디오이쩜영,25000000.0,14122100.0,226837760
007 스카이폴,Action Adventure Thriller,2012,2376145,748,소니픽쳐스릴리징월트디즈니스튜디오스코리아(주),200000000.0,12825803.0,1108594137
스파이더맨 2,Action Adventure Sci-Fi,2004,2367704,72,한국소니픽쳐스릴리징브에나비스타영화(주),200000000.0,13037416.0,784561571
미션 임파서블: 파이널 레코닝,Action Adventure Thriller,2025,2334727,2385,롯데컬처웍스(주)롯데엔터테인먼트,,16234559.0,584077375
스파이,Action Comedy,2015,2318748,665,이십세기폭스코리아(주),65000000.0,16285103.0,235666219
모아나,Adventure Animation Comedy Family Fantasy Musical,2017,2310054,953,월트디즈니컴퍼니코리아유한책임회사,,16411306.0,643332467
테이큰 2,Action Crime Thriller,2012,2308596,682,이십세기폭스코리아(주),45000000.0,12894662.0,376152455
메이즈 러너: 데스 큐어,Action Adventure Sci-Fi Thriller,2018,2299732,1090,이십세기폭스코리아(주),62000000.0,17181931.0,288175335
맘마미아!2,Comedy Musical Romance,2018,2293836,750,유니버설픽쳐스인터내셔널코리아(유),75000000.0,17822208.0,395607854
분노의 질주: 더 얼티메이트,Action Crime Thriller,2021,2292415,2297,유니버설픽쳐스인터내셔널코리아(유),,19075159.0,726229501
호빗: 스마우그의 폐허,Adventure Fantasy,2013,2282744,811,워너브러더스코리아(주),,16225470.0,959079095
나잇&데이,Action Adventure Comedy,2010,2282191,501,이십세기폭스코리아(주),117000000.0,15501620.0,261989769
미니언즈2,Adventure Animation Comedy Crime Family Sci-Fi,2022,2269024,1394,유니버설픽쳐스인터내셔널코리아(유),,19452280.0,940482695
컨저링,Horror Mystery Thriller,2013,2262758,553,워너브러더스코리아(주),20000000.0,14864407.0,320415166
슈렉 포에버,Adventure Animation Comedy Family Fantasy Romance,2010,2261356,561,씨제이엔터테인먼트,165000000.0,21068686.0,752600867
이글 아이,Action Mystery Thriller,2008,2258369,330,씨제이엔터테인먼트,80000000.0,12889312.0,178767383
배트맨 대 슈퍼맨: 저스티스의 시작,Action Adventure Sci-Fi,2016,2256913,1709,워너브러더스코리아(주),250000000.0,16348379.0,874362803
레디 플레이어 원,Action Adventure Sci-Fi,2018,2254430,1079,워너브러더스코리아(주),175000000.0,18118372.0,607874422
위키드,Fantasy Musical Romance,2024,2244536,1803,유니버설픽쳐스인터내셔널코리아(유),,16259458.0,756226570
배틀쉽,Action Adventure Sci-Fi Thriller,2012,2241687,736,유니버설픽쳐스인터내셔널코리아(유),209000000.0,12135423.0,303025485
매트릭스3 레볼루션,Action Sci-Fi,2003,2240000,112,워너브러더스코리아(주),150000000.0,11976955.208781224,427344325
셜록홈즈 : 그림자 게임,Action Adventure Mystery,2011,2239156,370,워너브러더스코리아(주),,15153172.0,543848418
어거스트 러쉬,Drama Music,2007,2218573,68,(주)영화사그램 씨제이엔터테인먼트 워너브러더스코리아(주),,12979486.0,66122026
