"구·군별","내외국인별","시점","세대수[세대]","인구[명]","남자인구[명]","여자인구[명]",
"중앙동","총인구","2024.02 월","2432","3725","1982","1743",
"중앙동","총인구","2024.03 월","2449","3750","2002","1748",
"중앙동","총인구","2024.04 월","2467","3774","2016","1758",
"중앙동","총인구","2024.05 월","2456","3772","2018","1754",
"중앙동","총인구","2024.06 월","2452","3764","2017","1747",
"중앙동","총인구","2024.07 월","2461","3785","2023","1762",
"중앙동","총인구","2024.08 월","2468","3810","2053","1757",
"중앙동","총인구","2024.09 월","2472","3813","2064","1749",
"중앙동","총인구","2024.10 월","2456","3794","2057","1737",
"중앙동","총인구","2024.11 월","2451","3781","2056","1725",
"중앙동","총인구","2024.12 월","2439","3758","2030","1728",
"동광동","총인구","2020.01 월","1897","3200","1663","1537",
"동광동","총인구","2020.02 월","1900","3205","1665","1540",
"동광동","총인구","2020.03 월","1912","3208","1672","1536",
"동광동","총인구","2020.04 월","1909","3196","1664","1532",
"동광동","총인구","2020.05 월","1922","3203","1667","1536",
"동광동","총인구","2020.06 월","1912","3181","1651","1530",
"동광동","총인구","2020.07 월","1910","3179","1651","1528",
"동광동","총인구","2020.08 월","1903","3171","1652","1519",
"동광동","총인구","2020.09 월","1906","3173","1661","1512",
"동광동","총인구","2020.10 월","1896","3161","1658","1503",
"동광동","총인구","2020.11 월","1886","3167","1667","1500",
"동광동","총인구","2020.12 월","1884","3190","1689","1501",
"동광동","총인구","2021.01 월","1875","3182","1694","1488",
"동광동","총인구","2021.02 월","1858","3149","1675","1474",
"동광동","총인구","2021.03 월","1839","3118","1664","1454",
"동광동","총인구","2021.04 월","1850","3109","1656","1453",
"동광동","총인구","2021.05 월","1852","3111","1653","1458",
"동광동","총인구","2021.06 월","1773","3025","1617","1408",
"동광동","총인구","2021.07 월","1762","3022","1618","1404",
"동광동","총인구","2021.08 월","1760","3019","1615","1404",
"동광동","총인구","2021.09 월","1750","3005","1610","1395",
"동광동","총인구","2021.10 월","1739","2993","1607","1386",
"동광동","총인구","2021.11 월","1729","2994","1605","1389",
"동광동","총인구","2021.12 월","1729","2998","1613","1385",
"동광동","총인구","2022.01 월","1726","2982","1607","1375",
"동광동","총인구","2022.02 월","1716","2957","1598","1359",
"동광동","총인구","2022.03 월","1708","2927","1582","1345",
"동광동","총인구","2022.04 월","1711","2935","1590","1345",
"동광동","총인구","2022.05 월","1706","2914","1577","1337",
"동광동","총인구","2022.06 월","1696","2898","1566","1332",
"동광동","총인구","2022.07 월","1699","2894","1562","1332",
"동광동","총인구","2022.08 월","1703","2889","1549","1340",
"동광동","총인구","2022.09 월","1683","2875","1540","1335",
"동광동","총인구","2022.10 월","1670","2855","1526","1329",
"동광동","총인구","2022.11 월","1661","2845","1513","1332",
"동광동","총인구","2022.12 월","1660","2853","1524","1329",
"동광동","총인구","2023.01 월","1653","2838","1518","1320",
"동광동","총인구","2023.02 월","1656","2848","1522","1326",
"동광동","총인구","2023.03 월","1662","2870","1528","1342",
"동광동","총인구","2023.04 월","1646","2853","1519","1334",
"동광동","총인구","2023.05 월","1645","2848","1512","1336",
"동광동","총인구","2023.06 월","1646","2854","1520","1334",
"동광동","총인구","2023.07 월","1638","2842","1515","1327",
"동광동","총인구","2023.08 월","1621","2822","1497","1325",
"동광동","총인구","2023.09 월","1625","2821","1493","1328",
"동광동","총인구","2023.10 월","1607","2789","1479","1310",
"동광동","총인구","2023.11 월","1613","2795","1477","1318",
"동광동","총인구","2023.12 월","1608","2779","1469","1310",
"동광동","총인구","2024.01 월","1614","2778","1475","1303",
"동광동","총인구","2024.02 월","1616","2784","1475","1309",
"동광동","총인구","2024.03 월","1607","2770","1465","1305",
"동광동","총인구","2024.04 월","1603","2750","1448","1302",
"동광동","총인구","2024.05 월","1601","2761","1447","1314",
"동광동","총인구","2024.06 월","1591","2767","1454","1313",
"동광동","총인구","2024.07 월","1589","2761","1454","1307",
"동광동","총인구","2024.08 월","1579","2739","1443","1296",
"동광동","총인구","2024.09 월","1570","2728","1435","1293",
"동광동","총인구","2024.10 월","1568","2702","1422","1280",
"동광동","총인구","2024.11 월","1561","2705","1423","1282",
"동광동","총인구","2024.12 월","1555","2679","1415","1264",
"대청동","총인구","2020.01 월","3492","6750","3187","3563",
"대청동","총인구","2020.02 월","3501","6745","3186","3559",
"대청동","총인구","2020.03 월","3483","6693","3160","3533",
"대청동","총인구","2020.04 월","3499","6690","3160","3530",
"대청동","총인구","2020.05 월","3504","6672","3151","3521",
"대청동","총인구","2020.06 월","3501","6630","3145","3485",
"대청동","총인구","2020.07 월","3523","6640","3142","3498",
"대청동","총인구","2020.08 월","3543","6642","3139","3503",
"대청동","총인구","2020.09 월","3561","6656","3147","3509",
