address_gu,gu_pop_ratio,gu_area,gu_density,year,month
서구,3.2,13.96,7735,2021,9
동구,2.6,9.86,9087,2021,9
영도구,3.3,14.2,7971,2021,9
부산진구,10.5,29.67,12062,2021,9
동래구,7.9,16.63,16166,2021,9
남구,7.9,26.82,10015,2021,9
북구,8.4,39.37,7267,2021,9
해운대구,11.8,51.5,7820,2021,9
사하구,9.1,41.77,7449,2021,9
금정구,6.8,65.26,3568,2021,9
강서구,4.3,181.49,805,2021,9
연제구,6.1,12.1,17076,2021,9
수영구,5.2,10.21,17387,2021,9
사상구,6.3,36.1,5924,2021,9
기장군,5.3,218.3,819,2021,9
중구,1.3,2.83,15110,2021,10
서구,3.2,13.96,7721,2021,10
동구,2.6,9.86,9089,2021,10
영도구,3.3,14.2,7960,2021,10
부산진구,10.5,29.67,12055,2021,10
동래구,7.9,16.63,16151,2021,10
남구,7.9,26.82,10018,2021,10
북구,8.4,39.37,7268,2021,10
해운대구,11.8,51.5,7817,2021,10
사하구,9.1,41.77,7448,2021,10
금정구,6.9,65.26,3578,2021,10
강서구,4.3,181.49,808,2021,10
연제구,6.1,12.1,17073,2021,10
수영구,5.2,10.21,17389,2021,10
사상구,6.3,36.1,5926,2021,10
기장군,5.3,218.3,819,2021,10
중구,1.3,2.83,15114,2022,5
서구,3.1,13.95,7596,2022,5
동구,2.7,9.87,9150,2022,5
영도구,3.3,14.2,7835,2022,5
부산진구,10.4,29.67,11921,2022,5
동래구,8.1,16.63,16544,2022,5
남구,7.9,26.82,9920,2022,5
북구,8.4,39.37,7187,2022,5
해운대구,11.8,51.54,7721,2022,5
사하구,9.1,41.77,7415,2022,5
금정구,6.8,65.28,3510,2022,5
강서구,4.4,181.5,816,2022,5
연제구,6.1,12.1,17156,2022,5
수영구,5.2,10.22,17255,2022,5
사상구,6.2,36.1,5841,2022,5
기장군,5.3,218.32,818,2022,5
중구,1.3,2.83,15081,2022,6
서구,3.1,13.95,7588,2022,6
동구,2.7,9.87,9149,2022,6
