"시점","구군별(1)","연령별(1)",계,남자,여자
"2020.08","기장군","65세 이상",27047,11589,15458
"2020.09","중구","65세 이상",11276,4813,6463
"2020.09","서구","65세 이상",27110,11451,15659
"2020.09","동구","65세 이상",23403,9736,13667
"2020.09","영도구","65세 이상",31290,13287,18003
"2020.09","부산진구","65세 이상",70157,30237,39920
"2020.09","동래구","65세 이상",49528,21868,27660
"2020.09","남구","65세 이상",53606,23343,30263
"2020.09","북구","65세 이상",48650,21484,27166
"2020.09","해운대구","65세 이상",69791,29960,39831
"2020.09","사하구","65세 이상",59040,26181,32859
"2020.09","금정구","65세 이상",48476,21059,27417
"2020.09","강서구","65세 이상",16338,7724,8614
"2020.09","연제구","65세 이상",40045,17671,22374
"2020.09","수영구","65세 이상",37336,16130,21206
"2020.09","사상구","65세 이상",38567,17303,21264
"2020.09","기장군","65세 이상",27220,11664,15556
"2020.10","중구","65세 이상",11309,4828,6481
"2020.10","서구","65세 이상",27202,11488,15714
"2020.10","동구","65세 이상",23454,9761,13693
"2020.10","영도구","65세 이상",31407,13332,18075
"2020.10","부산진구","65세 이상",70525,30413,40112
"2020.10","동래구","65세 이상",49687,21946,27741
"2020.10","남구","65세 이상",53743,23394,30349
"2020.10","북구","65세 이상",48854,21587,27267
"2020.10","해운대구","65세 이상",70093,30085,40008
"2020.10","사하구","65세 이상",59342,26312,33030
"2020.10","금정구","65세 이상",48633,21146,27487
"2020.10","강서구","65세 이상",16477,7786,8691
"2020.10","연제구","65세 이상",40223,17751,22472
"2020.10","수영구","65세 이상",37488,16187,21301
"2020.10","사상구","65세 이상",38731,17368,21363
"2020.10","기장군","65세 이상",27414,11746,15668
"2020.11","중구","65세 이상",11344,4836,6508
"2020.11","서구","65세 이상",27316,11540,15776
"2020.11","동구","65세 이상",23502,9783,13719
"2020.11","영도구","65세 이상",31477,13367,18110
"2020.11","부산진구","65세 이상",70762,30542,40220
"2020.11","동래구","65세 이상",49850,22020,27830
"2020.11","남구","65세 이상",53915,23474,30441
"2020.11","북구","65세 이상",49109,21712,27397
"2020.11","해운대구","65세 이상",70409,30221,40188
"2020.11","사하구","65세 이상",59541,26429,33112
"2020.11","금정구","65세 이상",48830,21206,27624
"2020.11","강서구","65세 이상",16573,7816,8757
"2020.11","연제구","65세 이상",40384,17812,22572
"2020.11","수영구","65세 이상",37614,16216,21398
"2020.11","사상구","65세 이상",38900,17427,21473
"2020.11","기장군","65세 이상",27620,11846,15774
"2020.12","중구","65세 이상",11406,4862,6544
"2020.12","서구","65세 이상",27439,11594,15845
"2020.12","동구","65세 이상",23572,9792,13780
"2020.12","영도구","65세 이상",31576,13411,18165
"2020.12","부산진구","65세 이상",71090,30686,40404
"2020.12","동래구","65세 이상",50019,22059,27960
"2020.12","남구","65세 이상",54045,23549,30496
"2020.12","북구","65세 이상",49410,21861,27549
"2020.12","해운대구","65세 이상",70654,30348,40306
"2020.12","사하구","65세 이상",59763,26547,33216
"2020.12","금정구","65세 이상",49010,21279,27731
"2020.12","강서구","65세 이상",16712,7872,8840
"2020.12","연제구","65세 이상",40582,17892,22690
"2020.12","수영구","65세 이상",37747,16272,21475
"2020.12","사상구","65세 이상",39039,17468,21571
"2020.12","기장군","65세 이상",27844,11952,15892
"2021.01","중구","65세 이상",11469,4888,6581
"2021.01","서구","65세 이상",27547,11640,15907
"2021.01","동구","65세 이상",23692,9851,13841
"2021.01","영도구","65세 이상",31686,13460,18226
"2021.01","부산진구","65세 이상",71447,30869,40578
"2021.01","동래구","65세 이상",50297,22150,28147
"2021.01","남구","65세 이상",54296,23636,30660
"2021.01","북구","65세 이상",49760,22042,27718
"2021.01","해운대구","65세 이상",71009,30519,40490
"2021.01","사하구","65세 이상",60073,26669,33404
"2021.01","금정구","65세 이상",49254,21387,27867
"2021.01","강서구","65세 이상",16856,7954,8902
"2021.01","연제구","65세 이상",40844,18015,22829
"2021.01","수영구","65세 이상",37949,16354,21595
"2021.01","사상구","65세 이상",39291,17595,21696
"2021.01","기장군","65세 이상",28132,12075,16057
"2021.02","중구","65세 이상",11495,4895,6600
"2021.02","서구","65세 이상",27639,11679,15960
"2021.02","동구","65세 이상",23730,9869,13861
"2021.02","영도구","65세 이상",31742,13482,18260
"2021.02","부산진구","65세 이상",71685,30954,40731
"2021.02","동래구","65세 이상",50544,22262,28282
"2021.02","남구","65세 이상",54462,23696,30766
"2021.02","북구","65세 이상",50028,22170,27858
"2021.02","해운대구","65세 이상",71320,30667,40653
"2021.02","사하구","65세 이상",60341,26789,33552
"2021.02","금정구","65세 이상",49426,21480,27946
"2021.02","강서구","65세 이상",16954,7996,8958
"2021.02","연제구","65세 이상",41059,18126,22933
"2021.02","수영구","65세 이상",38053,16398,21655
"2021.02","사상구","65세 이상",39515,17690,21825
"2021.02","기장군","65세 이상",28283,12148,16135
"2021.03","중구","65세 이상",11418,4862,6556
"2021.03","서구","65세 이상",27107,11504,15603
"2021.03","동구","65세 이상",23546,9804,13742
"2021.03","영도구","65세 이상",31346,13319,18027
"2021.03","부산진구","65세 이상",70638,30555,40083
"2021.03","동래구","65세 이상",50358,22229,28129
"2021.03","남구","65세 이상",54163,23587,30576
"2021.03","북구","65세 이상",50099,22240,27859
"2021.03","해운대구","65세 이상",71445,30777,40668
"2021.03","사하구","65세 이상",60146,26744,33402
"2021.03","금정구","65세 이상",49183,21406,27777
"2021.03","강서구","65세 이상",16926,7976,8950
"2021.03","연제구","65세 이상",40920,18109,22811
"2021.03","수영구","65세 이상",38024,16406,21618
"2021.03","사상구","65세 이상",39544,17694,21850
"2021.03","기장군","65세 이상",28317,12171,16146
"2021.04","중구","65세 이상",11450,4863,6587
"2021.04","서구","65세 이상",27162,11530,15632
"2021.04","동구","65세 이상",23590,9836,13754
"2021.04","영도구","65세 이상",31441,13361,18080
"2021.04","부산진구","65세 이상",70877,30675,40202
"2021.04","동래구","65세 이상",50475,22260,28215
"2021.04","남구","65세 이상",54301,23628,30673
"2021.04","북구","65세 이상",50359,22361,27998
"2021.04","해운대구","65세 이상",71734,30909,40825
"2021.04","사하구","65세 이상",60407,26868,33539
"2021.04","금정구","65세 이상",49328,21468,27860
"2021.04","강서구","65세 이상",17016,8015,9001
"2021.04","연제구","65세 이상",40997,18147,22850
"2021.04","수영구","65세 이상",38179,16478,21701
"2021.04","사상구","65세 이상",39699,17772,21927
"2021.04","기장군","65세 이상",28436,12218,16218
"2021.05","중구","65세 이상",11455,4865,6590
"2021.05","서구","65세 이상",27263,11583,15680
"2021.05","동구","65세 이상",23658,9839,13819
"2021.05","영도구","65세 이상",31543,13402,18141
"2021.05","부산진구","65세 이상",71065,30758,40307
"2021.05","동래구","65세 이상",50625,22310,28315
"2021.05","남구","65세 이상",54456,23708,30748
"2021.05","북구","65세 이상",50730,22548,28182
"2021.05","해운대구","65세 이상",71876,31020,40856
"2021.05","사하구","65세 이상",60616,26975,33641
"2021.05","금정구","65세 이상",49476,21537,27939
"2021.05","강서구","65세 이상",17120,8059,9061
"2021.05","연제구","65세 이상",41160,18202,22958
"2021.05","수영구","65세 이상",38273,16494,21779
"2021.05","사상구","65세 이상",39821,17838,21983
"2021.05","기장군","65세 이상",28570,12281,16289
"2021.06","중구","65세 이상",11084,4710,6374
"2021.06","서구","65세 이상",27299,11583,15716
"2021.06","동구","65세 이상",23671,9848,13823
"2021.06","영도구","65세 이상",31628,13453,18175
"2021.06","부산진구","65세 이상",71226,30842,40384
"2021.06","동래구","65세 이상",50728,22335,28393
"2021.06","남구","65세 이상",54540,23728,30812
"2021.06","북구","65세 이상",51002,22680,28322
"2021.06","해운대구","65세 이상",72061,31096,40965
"2021.06","사하구","65세 이상",60768,27034,33734
"2021.06","금정구","65세 이상",49540,21561,27979
"2021.06","강서구","65세 이상",17186,8093,9093
"2021.06","연제구","65세 이상",41265,18240,23025
"2021.06","수영구","65세 이상",38352,16516,21836
"2021.06","사상구","65세 이상",39954,17904,22050
"2021.06","기장군","65세 이상",28664,12325,16339
"2021.07","중구","65세 이상",11124,4733,6391
"2021.07","서구","65세 이상",27376,11622,15754
"2021.07","동구","65세 이상",23686,9844,13842
"2021.07","영도구","65세 이상",31720,13504,18216
"2021.07","부산진구","65세 이상",71404,30938,40466
"2021.07","동래구","65세 이상",50937,22440,28497
"2021.07","남구","65세 이상",54652,23775,30877
"2021.07","북구","65세 이상",51223,22792,28431
"2021.07","해운대구","65세 이상",72238,31184,41054
"2021.07","사하구","65세 이상",60943,27099,33844
"2021.07","금정구","65세 이상",49706,21649,28057
"2021.07","강서구","65세 이상",17301,8145,9156
"2021.07","연제구","65세 이상",41410,18307,23103
"2021.07","수영구","65세 이상",38485,16580,21905
"2021.07","사상구","65세 이상",40117,17974,22143
"2021.07","기장군","65세 이상",28776,12359,16417
"2021.08","중구","65세 이상",11169,4754,6415
"2021.08","서구","65세 이상",27442,11646,15796
"2021.08","동구","65세 이상",23697,9845,13852
"2021.08","영도구","65세 이상",31817,13538,18279
"2021.08","부산진구","65세 이상",71668,31044,40624
"2021.08","동래구","65세 이상",51143,22531,28612
"2021.08","남구","65세 이상",54844,23834,31010
"2021.08","북구","65세 이상",51519,22911,28608
"2021.08","해운대구","65세 이상",72548,31352,41196
"2021.08","사하구","65세 이상",61278,27248,34030
"2021.08","금정구","65세 이상",49903,21759,28144
"2021.08","강서구","65세 이상",17427,8209,9218
"2021.08","연제구","65세 이상",41573,18374,23199
"2021.08","수영구","65세 이상",38617,16663,21954
"2021.08","사상구","65세 이상",40327,18087,22240
"2021.08","기장군","65세 이상",28929,12424,16505
"2021.09","중구","65세 이상",11194,4767,6427
"2021.09","서구","65세 이상",27513,11689,15824
"2021.09","동구","65세 이상",23765,9893,13872
"2021.09","영도구","65세 이상",31868,13570,18298
"2021.09","부산진구","65세 이상",71934,31147,40787
"2021.09","동래구","65세 이상",51356,22614,28742
"2021.09","남구","65세 이상",55017,23910,31107
"2021.09","북구","65세 이상",51792,23053,28739
"2021.09","해운대구","65세 이상",72877,31493,41384
"2021.09","사하구","65세 이상",61589,27390,34199
"2021.09","금정구","65세 이상",50105,21836,28269
"2021.09","강서구","65세 이상",17545,8264,9281
"2021.09","연제구","65세 이상",41778,18459,23319
"2021.09","수영구","65세 이상",38776,16737,22039
"2021.09","사상구","65세 이상",40549,18194,22355
"2021.09","기장군","65세 이상",29027,12465,16562
"2021.10","중구","65세 이상",11229,4778,6451
"2021.10","서구","65세 이상",27581,11747,15834
"2021.10","동구","65세 이상",23886,9948,13938
"2021.10","영도구","65세 이상",31945,13612,18333
"2021.10","부산진구","65세 이상",72205,31268,40937
"2021.10","동래구","65세 이상",51508,22676,28832
"2021.10","남구","65세 이상",55245,23984,31261
"2021.10","북구","65세 이상",52075,23199,28876
"2021.10","해운대구","65세 이상",73214,31686,41528
"2021.10","사하구","65세 이상",61915,27528,34387
"2021.10","금정구","65세 이상",50256,21919,28337
