"시점","구·군별",읍면동수 (개),세대수 (세대),인구수  (명),남자인구수 (명),여자인구수 (명),시전체 인구에 대한 구성비 (%),면적 (㎢),인구밀도 (명/㎢)
"2024.11","중구",9,23564,40348,19988,20360,1.2,3.01,13405
"2024.11","서구",13,53622,106206,51164,55042,3.2,13.98,7597
"2024.11","동구",12,47057,88579,42991,45588,2.7,10.12,8753
"2024.11","영도구",11,53721,106744,52839,53905,3.2,14.20,7517
"2024.11","부산진구",20,184341,363394,173928,189466,10.9,29.67,12248
"2024.11","동래구",13,121775,275121,132514,142607,8.3,16.63,16544
"2024.11","남구",17,119904,262605,128085,134520,7.9,26.82,9791
"2024.11","북구",13,122417,270431,132658,137773,8.1,39.37,6869
"2024.11","해운대구",18,169675,381964,183019,198945,11.5,51.54,7411
"2024.11","사하구",16,140610,298418,148681,149737,9.0,41.78,7143
"2024.11","금정구",16,104956,215413,104355,111058,6.5,65.28,3300
"2024.11","강서구",8,62457,149906,79980,69926,4.5,182.16,823
"2024.11","연제구",12,99440,213622,101897,111725,6.4,12.11,17640
"2024.11","수영구",10,88095,174208,81452,92756,5.2,10.22,17046
"2024.11","사상구",12,99661,206106,103492,102614,6.2,36.11,5708
"2024.11","기장군",5,79261,178901,89183,89718,5.4,218.33,819
"2024.12","중구",9,23529,40346,19981,20365,1.2,3.01,13391
"2024.12","서구",13,53648,106194,51106,55088,3.2,13.97,7600
"2024.12","동구",12,47048,88412,42887,45525,2.7,10.12,8735
"2024.12","영도구",11,53659,106515,52704,53811,3.2,14.20,7501
"2024.12","부산진구",20,184179,362839,173651,189188,10.9,29.67,12231
"2024.12","동래구",13,122121,275848,132855,142993,8.3,16.63,16587
"2024.12","남구",17,119763,262318,127913,134405,7.9,26.82,9779
"2024.12","북구",13,122360,270127,132522,137605,8.1,39.37,6861
"2024.12","해운대구",18,169821,381936,182995,198941,11.5,51.52,7413
"2024.12","사하구",16,140631,298201,148601,149600,9.0,41.78,7137
"2024.12","금정구",16,104817,214922,104108,110814,6.5,65.28,3292
"2024.12","강서구",8,62433,149982,80013,69969,4.5,182.16,823
"2024.12","연제구",12,99568,213732,101972,111760,6.4,12.11,17655
"2024.12","수영구",10,88068,174124,81393,92731,5.2,10.22,17042
"2024.12","사상구",12,99563,205618,103254,102364,6.2,36.10,5695
"2024.12","기장군",5,79195,178774,89162,89612,5.4,218.34,819
