"시점","구·군별",읍면동수 (개),세대수 (세대),인구수  (명),남자인구수 (명),여자인구수 (명),시전체 인구에 대한 구성비 (%),면적 (㎢),인구밀도 (명/㎢)
"2024.06","동구",12,47311,89226,43304,45922,2.7,10.12,8817
"2024.06","영도구",11,54167,108128,53468,54660,3.2,14.20,7615
"2024.06","부산진구",20,184639,365193,174939,190254,10.9,29.67,12308
"2024.06","동래구",13,119755,270504,130320,140184,8.1,16.63,16266
"2024.06","남구",17,120102,262982,128269,134713,7.9,26.82,9805
"2024.06","북구",13,122992,273139,134074,139065,8.2,39.37,6938
"2024.06","해운대구",18,169102,382082,183092,198990,11.4,51.54,7413
"2024.06","사하구",16,140424,299692,149390,150302,9.0,41.78,7173
"2024.06","금정구",16,105566,217550,105467,112083,6.5,65.28,3333
"2024.06","강서구",8,62322,148997,79451,69546,4.5,182.16,818
"2024.06","연제구",12,98837,213212,101674,111538,6.4,12.11,17606
"2024.06","수영구",10,88261,175259,82084,93175,5.2,10.22,17149
"2024.06","사상구",12,100047,207440,104140,103300,6.2,36.11,5745
"2024.06","기장군",5,79571,180099,89808,90291,5.4,218.33,825
"2024.07","중구",9,23735,40773,20191,20582,1.2,3.01,13546
"2024.07","서구",13,53344,105747,50988,54759,3.2,13.98,7564
"2024.07","동구",12,47275,89152,43285,45867,2.7,10.12,8809
"2024.07","영도구",11,54105,107824,53330,54494,3.2,14.20,7593
"2024.07","부산진구",20,184721,365057,174816,190241,10.9,29.67,12304
"2024.07","동래구",13,119824,270453,130334,140119,8.1,16.63,16263
"2024.07","남구",17,120157,262903,128231,134672,7.9,26.82,9802
"2024.07","북구",13,122927,272645,133819,138826,8.2,39.37,6925
"2024.07","해운대구",18,169499,382425,183237,199188,11.5,51.54,7420
"2024.07","사하구",16,140375,299290,149216,150074,9.0,41.78,7163
"2024.07","금정구",16,105390,216866,105179,111687,6.5,65.28,3322
"2024.07","강서구",8,62463,149400,79667,69733,4.5,182.16,820
"2024.07","연제구",12,98999,213334,101698,111636,6.4,12.11,17616
"2024.07","수영구",10,88287,175060,81999,93061,5.2,10.22,17129
"2024.07","사상구",12,99970,207029,103882,103147,6.2,36.11,5733
"2024.07","기장군",5,79474,179865,89677,90188,5.4,218.33,824
"2024.08","중구",9,23705,40633,20149,20484,1.2,3.01,13499
"2024.08","서구",13,53397,105822,51023,54799,3.2,13.98,7570
"2024.08","동구",12,47210,88930,43154,45776,2.7,10.12,8788
"2024.08","영도구",11,54052,107603,53246,54357,3.2,14.20,7578
"2024.08","부산진구",20,184796,364908,174741,190167,10.9,29.67,12299
"2024.08","동래구",13,119850,270402,130279,140123,8.1,16.63,16260
"2024.08","남구",17,120126,262440,127989,134451,7.9,26.82,9785
"2024.08","북구",13,122867,272155,133562,138593,8.2,39.37,6913
"2024.08","해운대구",18,169707,382543,183303,199240,11.5,51.54,7422
"2024.08","사하구",16,140252,298679,148889,149790,9.0,41.78,7149
"2024.08","금정구",16,105401,216285,104969,111316,6.5,65.28,3313
"2024.08","강서구",8,62605,149855,79891,69964,4.5,182.16,823
"2024.08","연제구",12,99136,213352,101699,111653,6.4,12.11,17618
"2024.08","수영구",10,88287,174952,81915,93037,5.2,10.22,17119
"2024.08","사상구",12,99870,206579,103683,102896,6.2,36.11,5721
"2024.08","기장군",5,79499,179658,89573,90085,5.4,218.33,823
"2024.09","중구",9,23694,40543,20105,20438,1.2,3.01,13469
"2024.09","서구",13,53580,106120,51169,54951,3.2,13.98,7591
"2024.09","동구",12,47120,88758,43095,45663,2.7,10.12,8771
"2024.09","영도구",11,53973,107397,53162,54235,3.2,14.20,7563
"2024.09","부산진구",20,184863,364873,174756,190117,10.9,29.67,12298
"2024.09","동래구",13,119959,270513,130296,140217,8.1,16.63,16267
"2024.09","남구",17,120134,262584,128077,134507,7.9,26.82,9791
"2024.09","북구",13,122794,271835,133370,138465,8.2,39.37,6905
"2024.09","해운대구",18,169827,382498,183319,199179,11.5,51.54,7421
"2024.09","사하구",16,140206,298316,148642,149674,8.9,41.78,7140
"2024.09","금정구",16,105363,216543,104930,111613,6.5,65.28,3317
"2024.09","강서구",8,62617,149951,79960,69991,4.5,182.16,823
"2024.09","연제구",12,99274,213546,101808,111738,6.4,12.11,17634
"2024.09","수영구",10,88281,174824,81791,93033,5.2,10.22,17106
"2024.09","사상구",12,99812,206531,103645,102886,6.2,36.11,5719
"2024.09","기장군",5,79456,179399,89442,89957,5.4,218.33,822
"2024.10","중구",9,23621,40481,20033,20448,1.2,3.01,13449
"2024.10","서구",13,53673,106268,51210,55058,3.2,13.98,7601
"2024.10","동구",12,47064,88631,43022,45609,2.7,10.12,8758
"2024.10","영도구",11,53837,107057,52990,54067,3.2,14.20,7539
"2024.10","부산진구",20,184557,364256,174454,189802,10.9,29.67,12277
"2024.10","동래구",13,120971,273084,131528,141556,8.2,16.63,16421
"2024.10","남구",17,120050,262893,128233,134660,7.9,26.82,9802
"2024.10","북구",13,122603,271054,132994,138060,8.1,39.37,6885
"2024.10","해운대구",18,169697,382102,183148,198954,11.5,51.54,7414
"2024.10","사하구",16,140404,298318,148634,149684,8.9,41.78,7140
"2024.10","금정구",16,105059,215919,104598,111321,6.5,65.28,3308
"2024.10","강서구",8,62569,149954,79968,69986,4.5,182.16,823
"2024.10","연제구",12,99326,213536,101795,111741,6.4,12.11,17633
"2024.10","수영구",10,88139,174503,81603,92900,5.2,10.22,17075
"2024.10","사상구",12,99707,206401,103632,102769,6.2,36.11,5716
"2024.10","기장군",5,79381,179201,89344,89857,5.4,218.33,821
