EMD_CD,EMD_ENG_NM,address_gu,sub_address,EMD_KOR_NM,lat,lon,latitude,longitude
26140120,Chungmu-dong 1(il)-ga,서구,충무동,충무동1가,35.096,129.025,35.095523,129.024521
26140121,Chungmu-dong 2(i)-ga,서구,충무동,충무동2가,35.095,129.022,35.09527,129.022269
26140122,Chungmu-dong 3(sam)-ga,서구,충무동,충무동3가,35.094,129.022,35.093863,129.022233
26140123,Nambumin-dong,서구,남부민동,남부민동,35.087,129.021,35.087227,129.021475
26140124,Amnam-dong,서구,암남동,암남동,35.07,129.014,35.070359,129.014363
26170101,Choryang-dong,동구,초량동,초량동,35.121,129.037,35.120587,129.03735
26170102,Sujeong-dong,동구,수정동,수정동,35.132,129.038,35.132269,129.038442
26170103,Jwacheon-dong,동구,좌천동,좌천동,35.13,129.053,35.129729,129.053096
26170104,Beomil-dong,동구,범일동,범일동,35.137,129.056,35.136888,129.055571
26200101,Daegyo-dong 1(il)-ga,영도구,대교동,대교동1가,35.093,129.038,35.092976,129.037949
26200102,Daegyo-dong 2(i)-ga,영도구,대교동,대교동2가,35.092,129.041,35.091684,129.041004
26200103,Daepyeong-dong 1(il)-ga,영도구,대평동,대평동1가,35.091,129.035,35.091072,129.034978
26200104,Daepyeong-dong 2(i)-ga,영도구,대평동,대평동2가,35.093,129.033,35.092549,129.032742
26200105,Namhang-dong 1(il)-ga,영도구,남항동,남항동1가,35.09,129.039,35.090243,129.039196
26200106,Namhang-dong 2(i)-ga,영도구,남항동,남항동2가,35.088,129.037,35.088309,129.037424
26200107,Namhang-dong 3(sam)-ga,영도구,남항동,남항동3가,35.085,129.037,35.085092,129.037106
26200108,Yeongseon-dong 1(il)-ga,영도구,영선동,영선동1가,35.09,129.044,35.090421,129.043905
26200109,Yeongseon-dong 2(i)-ga,영도구,영선동,영선동2가,35.088,129.043,35.088265,129.042591
26200110,Yeongseon-dong 3(sam)-ga,영도구,영선동,영선동3가,35.086,129.041,35.085834,129.041351
26200111,Yeongseon-dong 4(sa)-ga,영도구,영선동,영선동4가,35.079,129.046,35.079174,129.045881
26200112,Sinseon-dong 1(il)-ga,영도구,신선동,신선동1가,35.09,129.047,35.090157,129.047059
26200113,Sinseon-dong 2(i)-ga,영도구,신선동,신선동2가,35.087,129.048,35.0866,129.048015
26200114,Sinseon-dong 3(sam)-ga,영도구,신선동,신선동3가,35.082,129.05,35.08228,129.049821
26200115,Bongnae-dong 1(il)-ga,영도구,봉래동,봉래동1가,35.094,129.04,35.094436,129.040221
26200116,Bongnae-dong 2(i)-ga,영도구,봉래동,봉래동2가,35.095,129.043,35.094625,129.042869
26200117,Bongnae-dong 3(sam)-ga,영도구,봉래동,봉래동3가,35.094,129.045,35.093887,129.044979
26200118,Bongnae-dong 4(sa)-ga,영도구,봉래동,봉래동4가,35.092,129.049,35.092121,129.048993
26200119,Bongnae-dong 5(o)-ga,영도구,봉래동,봉래동5가,35.094,129.052,35.093535,129.052033
26200120,Cheonghak-dong,영도구,청학동,청학동,35.091,129.061,35.091476,129.061343
26200121,Dongsam-dong,영도구,동삼동,동삼동,35.071,129.075,35.070796,129.074512
26230101,Yangjeong-dong,부산진구,양정동,양정동,35.172,129.071,35.17225,129.070962
26230102,Jeonpo-dong,부산진구,전포동,전포동,35.158,129.071,35.157509,129.071092
26230103,Bujeon-dong,부산진구,부전동,부전동,35.157,129.058,35.157384,129.057922
26230104,Beomcheon-dong,부산진구,범천동,범천동,35.148,129.052,35.148046,129.051813
