address_gu,gu_old,gu_male_old,gu_female_old,year,month
동구,23765,9893,13872,2021,10
영도구,31868,13570,18298,2021,10
부산진구,71934,31147,40787,2021,10
동래구,51356,22614,28742,2021,10
남구,55017,23910,31107,2021,10
북구,51792,23053,28739,2021,10
해운대구,72877,31493,41384,2021,10
사하구,61589,27390,34199,2021,10
금정구,50105,21836,28269,2021,10
강서구,17545,8264,9281,2021,10
연제구,41778,18459,23319,2021,10
수영구,38776,16737,22039,2021,10
사상구,40549,18194,22355,2021,10
기장군,29027,12465,16562,2021,10
중구,11446,4868,6578,2022,5
서구,27881,11847,16034,2022,5
동구,24327,10167,14160,2022,5
영도구,32359,13800,18559,2022,5
부산진구,73427,31839,41588,2022,5
동래구,53371,23495,29876,2022,5
남구,56332,24417,31915,2022,5
북구,53750,24009,29741,2022,5
해운대구,74870,32430,42440,2022,5
사하구,63828,28389,35439,2022,5
금정구,51121,22359,28762,2022,5
강서구,18348,8667,9681,2022,5
연제구,43039,19003,24036,2022,5
수영구,39637,17054,22583,2022,5
사상구,41802,18790,23012,2022,5
기장군,30082,12958,17124,2022,5
중구,11479,4889,6590,2022,6
서구,27929,11855,16074,2022,6
동구,24372,10191,14181,2022,6
영도구,32408,13811,18597,2022,6
부산진구,73637,31913,41724,2022,6
동래구,53604,23571,30033,2022,6
남구,56463,24448,32015,2022,6
북구,54016,24144,29872,2022,6
해운대구,74998,32445,42553,2022,6
사하구,64099,28523,35576,2022,6
금정구,51265,22410,28855,2022,6
강서구,18450,8733,9717,2022,6
연제구,43154,19054,24100,2022,6
수영구,39723,17089,22634,2022,6
사상구,42003,18903,23100,2022,6
기장군,30171,12999,17172,2022,6
중구,11471,4877,6594,2022,7
서구,27997,11876,16121,2022,7
동구,24412,10221,14191,2022,7
영도구,32505,13869,18636,2022,7
부산진구,73819,31989,41830,2022,7
동래구,53788,23633,30155,2022,7
남구,56574,24502,32072,2022,7
북구,54239,24258,29981,2022,7
해운대구,75164,32508,42656,2022,7
사하구,64231,28568,35663,2022,7
금정구,51334,22437,28897,2022,7
강서구,18534,8779,9755,2022,7
연제구,43267,19109,24158,2022,7
수영구,39824,17136,22688,2022,7
사상구,42159,18976,23183,2022,7
기장군,30376,13080,17296,2022,7
중구,11483,4881,6602,2022,8
서구,28125,11930,16195,2022,8
동구,24450,10239,14211,2022,8
영도구,32555,13891,18664,2022,8
부산진구,74137,32147,41990,2022,8
동래구,54036,23736,30300,2022,8
남구,56716,24549,32167,2022,8
북구,54463,24370,30093,2022,8
해운대구,75396,32601,42795,2022,8
사하구,64502,28702,35800,2022,8
금정구,51492,22490,29002,2022,8
강서구,18617,8807,9810,2022,8
연제구,43394,19159,24235,2022,8
수영구,39935,17185,22750,2022,8
사상구,42274,19048,23226,2022,8
기장군,30505,13132,17373,2022,8
중구,11526,4901,6625,2022,9
서구,28271,11997,16274,2022,9
동구,24558,10301,14257,2022,9
영도구,32632,13930,18702,2022,9
부산진구,74533,32334,42199,2022,9
동래구,54308,23846,30462,2022,9
남구,56867,24632,32235,2022,9
북구,54819,24517,30302,2022,9
해운대구,75801,32782,43019,2022,9
사하구,64883,28868,36015,2022,9
금정구,51734,22621,29113,2022,9
강서구,18778,8892,9886,2022,9
연제구,43598,19233,24365,2022,9
수영구,40135,17269,22866,2022,9
사상구,42499,19154,23345,2022,9
기장군,30645,13200,17445,2022,9
중구,11500,4893,6607,2022,10
서구,28295,12011,16284,2022,10
동구,24362,10254,14108,2022,10
영도구,32629,13925,18704,2022,10
부산진구,74596,32337,42259,2022,10
동래구,54347,23864,30483,2022,10
남구,56787,24586,32201,2022,10
북구,55065,24642,30423,2022,10
해운대구,75768,32745,43023,2022,10
사하구,65028,28911,36117,2022,10
금정구,51787,22648,29139,2022,10
강서구,18796,8906,9890,2022,10
연제구,43637,19232,24405,2022,10
수영구,40244,17308,22936,2022,10
사상구,42517,19141,23376,2022,10
기장군,30816,13272,17544,2022,10
중구,11710,4974,6736,2023,5
서구,28845,12237,16608,2023,5
동구,24754,10433,14321,2023,5
영도구,33204,14244,18960,2023,5
부산진구,77139,33482,43657,2023,5
동래구,55986,24596,31390,2023,5
남구,57862,25067,32795,2023,5
북구,57066,25622,31444,2023,5
해운대구,77924,33742,44182,2023,5
사하구,67352,30022,37330,2023,5
금정구,53025,23213,29812,2023,5
강서구,19506,9253,10253,2023,5
연제구,44870,19716,25154,2023,5
수영구,41608,17831,23777,2023,5
사상구,44106,19913,24193,2023,5
기장군,32082,13845,18237,2023,5
중구,11753,4986,6767,2023,6
서구,28903,12258,16645,2023,6
동구,24803,10433,14370,2023,6
영도구,33234,14256,18978,2023,6
부산진구,77431,33602,43829,2023,6
동래구,56196,24684,31512,2023,6
남구,58026,25133,32893,2023,6
북구,57298,25719,31579,2023,6
해운대구,78200,33891,44309,2023,6
사하구,67617,30133,37484,2023,6
금정구,53178,23273,29905,2023,6
강서구,19585,9296,10289,2023,6
연제구,45010,19776,25234,2023,6
수영구,41739,17864,23875,2023,6
사상구,44353,20011,24342,2023,6
기장군,32239,13903,18336,2023,6
중구,11796,4999,6797,2023,7
서구,28945,12291,16654,2023,7
동구,24894,10492,14402,2023,7
영도구,33257,14272,18985,2023,7
부산진구,77609,33654,43955,2023,7
동래구,56293,24719,31574,2023,7
남구,58112,25161,32951,2023,7
북구,57485,25805,31680,2023,7
해운대구,78346,33972,44374,2023,7
사하구,67787,30212,37575,2023,7
금정구,53310,23333,29977,2023,7
강서구,19654,9326,10328,2023,7
연제구,45119,19825,25294,2023,7
수영구,41859,17904,23955,2023,7
사상구,44476,20065,24411,2023,7
기장군,32323,13962,18361,2023,7
중구,11819,5018,6801,2023,8
서구,29030,12328,16702,2023,8
동구,25009,10544,14465,2023,8
영도구,33361,14334,19027,2023,8
부산진구,77825,33776,44049,2023,8
동래구,56457,24789,31668,2023,8
남구,58251,25212,33039,2023,8
북구,57712,25926,31786,2023,8
해운대구,78609,34060,44549,2023,8
사하구,67926,30291,37635,2023,8
금정구,53386,23360,30026,2023,8
강서구,19728,9371,10357,2023,8
연제구,45249,19853,25396,2023,8
수영구,41968,17945,24023,2023,8
사상구,44677,20160,24517,2023,8
기장군,32419,13989,18430,2023,8
중구,11859,5029,6830,2023,9
서구,29095,12356,16739,2023,9
동구,25091,10587,14504,2023,9
영도구,33461,14379,19082,2023,9
부산진구,78126,33895,44231,2023,9
동래구,56676,24872,31804,2023,9
남구,58401,25271,33130,2023,9
북구,58037,26083,31954,2023,9
해운대구,78900,34168,44732,2023,9
사하구,68175,30398,37777,2023,9
금정구,53573,23443,30130,2023,9
강서구,19848,9435,10413,2023,9
연제구,45394,19902,25492,2023,9
수영구,42120,18025,24095,2023,9
사상구,44986,20305,24681,2023,9
기장군,32511,14023,18488,2023,9
중구,11899,5049,6850,2023,10
서구,29188,12390,16798,2023,10
동구,25170,10627,14543,2023,10
영도구,33562,14394,19168,2023,10
부산진구,78547,34075,44472,2023,10
동래구,56893,24970,31923,2023,10
남구,58550,25323,33227,2023,10
북구,58315,26205,32110,2023,10
해운대구,79279,34346,44933,2023,10
사하구,68450,30535,37915,2023,10
금정구,53754,23509,30245,2023,10
강서구,19987,9494,10493,2023,10
연제구,45591,19996,25595,2023,10
수영구,42244,18069,24175,2023,10
사상구,45206,20398,24808,2023,10
기장군,32651,14090,18561,2023,10
중구,12134,5182,6952,2024,5
서구,29737,12641,17096,2024,5
동구,25582,10803,14779,2024,5
영도구,34209,14717,19492,2024,5
부산진구,81016,35102,45914,2024,5
동래구,58544,25678,32866,2024,5
남구,60092,25965,34127,2024,5
북구,60624,27296,33328,2024,5
해운대구,81457,35391,46066,2024,5
사하구,70580,31503,39077,2024,5
금정구,54989,24029,30960,2024,5
강서구,20758,9888,10870,2024,5
연제구,47442,20700,26742,2024,5
수영구,43258,18471,24787,2024,5
사상구,46970,21278,25692,2024,5
기장군,33517,14464,19053,2024,5
중구,12144,5186,6958,2024,6
서구,29819,12661,17158,2024,6
동구,25606,10818,14788,2024,6
영도구,34311,14770,19541,2024,6
부산진구,81341,35211,46130,2024,6
동래구,58799,25793,33006,2024,6
남구,60329,26064,34265,2024,6
북구,60866,27410,33456,2024,6
해운대구,81722,35513,46209,2024,6
사하구,70874,31662,39212,2024,6
금정구,55177,24106,31071,2024,6
강서구,20827,9906,10921,2024,6
연제구,47623,20762,26861,2024,6
