year,month,address_gu,sub_address,sub_household,sub_pop,sub_male_pop,sub_female_pop,sub_single
2020,5,영도구,신선동,5007.0,9518.0,4758.0,4760.0,2468.0
2020,5,영도구,영선동,5916.0,13407.0,6551.0,6856.0,2168.0
2020,5,영도구,청학동,11323.0,25972.0,12847.0,13125.0,4071.0
2020,5,중구,남포동,693.0,1287.0,798.0,489.0,471.0
2020,5,중구,대청동,3499.0,6690.0,3160.0,3530.0,1818.0
2020,5,중구,동광동,1909.0,3196.0,1664.0,1532.0,1273.0
2020,5,중구,보수동,5784.0,10945.0,5326.0,5619.0,3070.0
2020,5,중구,부평동,2700.0,4950.0,2339.0,2611.0,1545.0
2020,5,해운대구,반여동,30793.0,75692.0,37316.0,38376.0,9337.0
2020,5,해운대구,우동,33380.0,84841.0,40434.0,44407.0,9620.0
2020,5,해운대구,재송동,25836.0,65059.0,31835.0,33224.0,7492.0
2020,5,해운대구,좌동,36273.0,92364.0,43346.0,49018.0,10559.0
2020,5,해운대구,중동,17843.0,41223.0,19853.0,21370.0,6792.0
2020,6,강서구,강동동,2661.0,4764.0,2589.0,2175.0,1514.0
2020,6,강서구,명지동,26236.0,74672.0,37261.0,37411.0,5298.0
2020,6,금정구,구서동,21025.0,53905.0,25721.0,28184.0,5535.0
2020,6,금정구,금성동,486.0,1109.0,539.0,570.0,195.0
2020,6,금정구,남산동,13923.0,31046.0,15046.0,16000.0,5615.0
2020,6,금정구,서동,14629.0,28373.0,14213.0,14160.0,6979.0
2020,6,금정구,장전동,22118.0,48057.0,23593.0,24464.0,10732.0
2020,6,기장군,기장읍,25094.0,54463.0,26576.0,27887.0,10444.0
2020,6,기장군,일광읍,7116.0,16233.0,8201.0,8032.0,2623.0
2020,6,기장군,장안읍,4670.0,9133.0,5030.0,4103.0,2486.0
2020,6,기장군,정관읍,30941.0,83267.0,41274.0,41993.0,8083.0
2020,6,기장군,철마면,3840.0,8205.0,4126.0,4079.0,1508.0
2020,6,남구,감만동,9836.0,21810.0,11015.0,10795.0,3632.0
2020,6,남구,대연동,43308.0,99232.0,48529.0,50703.0,18051.0
2020,6,남구,문현동,21534.0,47946.0,23468.0,24478.0,8172.0
2020,6,남구,용당동,3335.0,8312.0,4232.0,4080.0,1067.0
2020,6,남구,용호동,33381.0,85683.0,41493.0,44190.0,8837.0
2020,6,남구,우암동,5956.0,13745.0,6816.0,6929.0,1990.0
2020,6,동구,범일동,13128.0,26033.0,12907.0,13126.0,6349.0
2020,6,동구,수정동,12342.0,24631.0,11908.0,12723.0,5710.0
2020,6,동구,좌천동,5457.0,11321.0,5480.0,5841.0,2317.0
2020,6,동구,초량동,14828.0,30011.0,14794.0,15217.0,7656.0
2020,6,동래구,명륜동,9323.0,24996.0,12176.0,12820.0,2377.0
2020,6,동래구,명장동,12848.0,30190.0,14732.0,15458.0,4039.0
2020,6,동래구,사직동,21885.0,57505.0,28024.0,29481.0,5780.0
2020,6,동래구,안락동,17986.0,43649.0,21378.0,22271.0,5518.0
2020,6,동래구,온천동,33392.0,73717.0,35631.0,38086.0,13524.0
2020,6,부산진구,가야동,17434.0,37898.0,18736.0,19162.0,7296.0
2020,6,부산진구,개금동,26240.0,59417.0,28722.0,30695.0,9889.0
2020,6,부산진구,당감동,20214.0,47119.0,22706.0,24413.0,6771.0
2020,6,부산진구,범천동,16767.0,32075.0,15479.0,16596.0,8517.0
2020,6,부산진구,부암동,16442.0,41056.0,20126.0,20930.0,4826.0
2020,6,부산진구,양정동,16790.0,33870.0,15899.0,17971.0,8073.0
2020,6,부산진구,연지동,8325.0,20489.0,9696.0,10793.0,2405.0
2020,6,부산진구,전포동,21691.0,40027.0,18896.0,21131.0,11976.0
2020,6,부산진구,초읍동,9704.0,22017.0,10672.0,11345.0,3432.0
2020,6,북구,구포동,28607.0,63844.0,32785.0,31059.0,11308.0
2020,6,북구,금곡동,18121.0,39865.0,19330.0,20535.0,7050.0
2020,6,북구,덕천동,19133.0,37384.0,18412.0,18972.0,9198.0
2020,6,북구,만덕동,23356.0,59996.0,29380.0,30616.0,5462.0
2020,6,북구,화명동,31446.0,90344.0,44279.0,46065.0,5457.0
2020,6,사상구,감전동,7281.0,14630.0,7836.0,6794.0,3500.0
2020,6,사상구,괘법동,11634.0,22672.0,11716.0,10956.0,6216.0
2020,6,사상구,덕포동,10049.0,23191.0,11832.0,11359.0,3787.0
2020,6,사상구,모라동,18934.0,40334.0,19978.0,20356.0,7773.0
2020,6,사상구,삼락동,3207.0,6585.0,3546.0,3039.0,1626.0
2020,6,사상구,엄궁동,10740.0,28965.0,14523.0,14442.0,2523.0
2020,6,사상구,주례동,23042.0,54153.0,27160.0,26993.0,8303.0
