영화명,장르,개봉연도,관객수,스크린수,배급사,예산,국내매출액,세계매출액,세계흥행지수,국내흥행지수,유형
미스 페레그린과 이상한 아이들의 집,Adventure Drama Family Fantasy Thriller,2016,2718158,904,이십세기폭스코리아(주),110000000.0,18886269.0,296482446,44.95463808221585,6.370113730105964,B (국내 특화)
토르: 러브 앤 썬더,Action Adventure Comedy Romance Sci-Fi,2022,2716306,2143,월트디즈니컴퍼니코리아유한책임회사,,26088759.0,760928081,115.37697070925415,3.428544648492214,C (글로벌 의존)
적벽대전 2 : 최후의 결전,Action Adventure Drama History War,2009,2713031,426,(주)쇼박스,,15487509.0,120432178,18.260726894579783,12.859942630947021,B (국내 특화)
지.아이.조 : 전쟁의 서막,Action Adventure Sci-Fi Thriller,2009,2706748,446,씨제이엔터테인먼트,175000000.0,17198283.0,302469017,45.862361747779815,5.685965184328285,B (국내 특화)
타이탄,Action Adventure Fantasy,2010,2685508,694,워너브러더스코리아(주),,20127161.0,493214993,74.78453381026688,4.080808832995067,D (상대적 저성과)
브레이킹 던 part2,Adventure Drama Fantasy Romance,2012,2654817,665,(주)넥스트엔터테인먼트월드(NEW),120000000.0,13869025.0,848593948,128.66945185381633,1.634353512971318,C (글로벌 의존)
미니언즈,Adventure Animation Comedy Crime Family Sci-Fi,2015,2625572,792,유니버설픽쳐스인터내셔널코리아(유),74000000.0,16798188.0,1159457503,175.8046492205299,1.448797213915653,C (글로벌 의존)
트랜스포머: 최후의 기사,Action Adventure Comedy Sci-Fi Thriller,2017,2614601,1739,롯데쇼핑(주)롯데엔터테인먼트,217000000.0,19544393.0,605425157,91.79858432092034,3.2282095935435335,C (글로벌 의존)
제이슨 본,Action Thriller,2016,2611966,827,유니버설픽쳐스인터내셔널코리아(유),120000000.0,18378011.0,415484914,62.9985828486135,4.423267940842733,D (상대적 저성과)
드래곤 길들이기,Action Adventure Comedy Drama Family Fantasy Sci-Fi,2010,2603857,562,유니버설픽쳐스인터내셔널코리아(유) 씨제이엔터테인먼트,165000000.0,24970846.0,494879860,75.03697200500582,5.04584001458455,D (상대적 저성과)
도리를 찾아서,Adventure Animation Comedy Family Fantasy Mystery,2016,2601734,1091,월트디즈니컴퍼니코리아(주),,17902824.0,1029266989,156.06429859414692,1.7393760988481484,C (글로벌 의존)
퍼시픽 림,Action Adventure Sci-Fi,2013,2539114,1005,워너브러더스코리아(주),190000000.0,18613104.0,411002906,62.31899102036207,4.528703745953563,D (상대적 저성과)
정글북,Action Adventure Animation Drama Family Fantasy Musical,2016,2537419,924,월트디즈니컴퍼니코리아(주),175000000.0,18606362.0,967724775,146.73285926452039,1.9226915007937044,C (글로벌 의존)
